,LOSS0,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS6,LOSS7,LOSS8,LOSS9,LOSS10,LOSS11,LOSS12,LOSS13,LOSS14,LOSS15,LOSS16,LOSS17,LOSS18,LOSS19,LOSS20,LOSS21,LOSS22,LOSS23,LOSS24,LOSS25,LOSS26,LOSS27,LOSS28,LOSS29,LOSS30,LOSS31,LOSS32,LOSS33,LOSS34,LOSS35,LOSS36,LOSS37,LOSS38,LOSS39,LOSS40,LOSS41,LOSS42,LOSS43,LOSS44,LOSS45,LOSS46,LOSS47,LOSS48,LOSS49
0,0.42183036,1.7203573,0.29889375,0.7995252,0.11496623,0.84842014,0.84673786,2.187554,0.7065784,1.1716491,0.62207,0.70428884,0.6003246,0.4235788,1.723549,0.517305,1.2863106,4.4679656,0.5830735,1.7664685,0.6874064,0.97665757,1.3764575,0.60423696,0.80500865,1.6685803,0.80749816,1.3003263,1.7446389,1.0501435,0.53967685,0.26944575,0.43414754,1.0059493,1.0772564,0.70638764,0.68667966,0.8863929,0.59256655,2.691459,1.1296453,0.44516373,4.5727773,0.7359331,0.34926045,0.8154212,0.35073644,2.9121914,1.1359135,0.51141447
1,0.39936718,1.4120384,0.29645854,0.6419149,0.112301186,0.75360715,0.7527171,1.9988573,0.62740254,1.1048119,0.5761881,0.6478637,0.5683863,0.3613498,1.4887975,0.480957,1.105813,3.790812,0.5279943,1.5387957,0.5969691,0.85026836,1.22876,0.5760357,0.7449436,1.374024,0.7247062,1.0874237,1.4443052,0.8685151,0.49121907,0.26385668,0.4228973,0.8637726,0.9190371,0.64277846,0.6106391,0.7785416,0.57549524,1.9887234,0.94270146,0.40542597,3.879509,0.67257875,0.34527776,0.76231897,0.33091044,2.5381837,0.9551803,0.47813672
2,0.36201873,0.942605,0.29182842,0.41833225,0.10791203,0.59728473,0.6088889,1.6706276,0.5022674,0.9842028,0.5021441,0.55869776,0.5192763,0.2681337,1.130624,0.41988233,0.823277,2.706226,0.4415638,1.1643999,0.46154547,0.6558521,0.9856106,0.5299514,0.6470919,0.9517418,0.59379625,0.76180744,0.98898226,0.60863996,0.41287175,0.25381586,0.4032018,0.63919204,0.67675275,0.5386346,0.490457,0.61494744,0.54755616,1.0704687,0.66622925,0.34260967,2.7966208,0.5683533,0.33816397,0.67162275,0.29906893,1.9250818,0.6821379,0.42016903
3,0.32008648,0.48724437,0.28534904,0.22619876,0.10302978,0.42354468,0.46864668,1.2732332,0.37344894,0.8295242,0.42282972,0.4665554,0.4697913,0.18078224,0.77915007,0.35006002,0.5344413,1.5622413,0.3521392,0.7523896,0.33458635,0.46442732,0.71553236,0.47942758,0.5405881,0.58330864,0.45870578,0.4433623,0.55082256,0.38349706,0.328815,0.24086235,0.37901106,0.40825292,0.4406682,0.4246561,0.36599514,0.4581628,0.51635295,0.40740308,0.41159603,0.2777311,1.6881509,0.45224863,0.32905602,0.5650072,0.26508707,1.2500802,0.42000175,0.3500352
4,0.28332695,0.17776072,0.27739778,0.12206346,0.09874426,0.27251983,0.37245026,0.88077676,0.27642098,0.66335696,0.3580824,0.3958904,0.43120953,0.12575154,0.5293156,0.28707787,0.31599444,0.66401213,0.28125998,0.40524507,0.2544782,0.33109835,0.48051047,0.43625453,0.45135486,0.3810702,0.35612255,0.22269551,0.25763315,0.26216277,0.26035622,0.22647789,0.3543313,0.23519139,0.2802548,0.32896587,0.26987776,0.35486034,0.48782852,0.19678788,0.25532642,0.22813132,0.83860683,0.34977236,0.3190117,0.4642377,0.23716052,0.67504287,0.24315698,0.2811849
5,0.25836194,0.06682691,0.26831773,0.10837672,0.095699266,0.17000553,0.33567414,0.5562869,0.229411,0.5074707,0.31911054,0.35875592,0.4061561,0.110978335,0.41634494,0.24237256,0.20612183,0.19041085,0.23810643,0.1920493,0.23300868,0.27903703,0.32080105,0.4072145,0.39515656,0.3598636,0.30490977,0.13594168,0.15703794,0.25079244,0.22010571,0.21174966,0.3322903,0.15382941,0.22325031,0.2696055,0.21842301,0.32146597,0.46452028,0.3388307,0.21765466,0.202375,0.38287956,0.27669767,0.30873823,0.3862031,0.21942112,0.30749533,0.17675929,0.2251688
6,0.24736415,0.12973653,0.25837243,0.14915189,0.09398502,0.12398487,0.34856433,0.3418011,0.23071581,0.3797492,0.3067747,0.353469,0.3900212,0.1270033,0.42050797,0.22117557,0.20247054,0.161952,0.22033548,0.1351373,0.25693595,0.29844752,0.24995553,0.39293987,0.37518552,0.45821288,0.3036543,0.16598548,0.2190097,0.30667385,0.21002312,0.19722995,0.31455833,0.16213669,0.2548992,0.25129768,0.2102766,0.3444491,0.445503,0.589554,0.26872885,0.1992017,0.3055169,0.2375405,0.29847997,0.34001002,0.21144056,0.18448415,0.20070454,0.1895313
7,0.24817662,0.29176527,0.24772839,0.19809814,0.09322196,0.12743768,0.38547495,0.25376472,0.26317883,0.29205596,0.3134557,0.36818418,0.37503865,0.15472782,0.49012175,0.22228745,0.27256992,0.4612216,0.21895096,0.21140103,0.29889524,0.3572648,0.2582551,0.3889273,0.38383064,0.5845267,0.33534762,0.26216054,0.3657747,0.3700352,0.22304274,0.18299037,0.30120918,0.22947076,0.33312827,0.2665093,0.23118064,0.39204967,0.42765698,0.7401251,0.3526874,0.2100197,0.4875282,0.22775485,0.28806746,0.32634372,0.20938772,0.27637404,0.26967087,0.17675352
8,0.25560802,0.46484318,0.23646396,0.2224593,0.092771806,0.16442065,0.417838,0.2833076,0.30300105,0.24917832,0.32718685,0.38707587,0.35454014,0.17517124,0.5689132,0.2393863,0.37049738,0.8944546,0.22387327,0.36586,0.33126134,0.4172575,0.32067338,0.3879846,0.40713817,0.6620402,0.376118,0.36613727,0.5114226,0.39469618,0.24698597,0.16881056,0.29098555,0.31238467,0.41015026,0.2997108,0.26168,0.43055436,0.40747276,0.7107865,0.41598332,0.22334369,0.77212155,0.23769598,0.27708435,0.33874965,0.20809153,0.50555265,0.33710977,0.18434718
9,0.2633631,0.57915837,0.22459935,0.21313378,0.09198462,0.21619421,0.4252203,0.40074468,0.3290815,0.24885103,0.33628592,0.39646533,0.3255724,0.17688969,0.6165362,0.26332796,0.45373118,1.2690107,0.22766927,0.532136,0.33686233,0.44869334,0.40582418,0.38306716,0.4300671,0.6548789,0.40429282,0.4331694,0.5940761,0.36426958,0.26911673,0.15441272,0.28184366,0.37221685,0.45073655,0.3331072,0.28450102,0.43771705,0.38258293,0.54290503,0.4277485,0.22927245,1.0229573,0.25650486,0.26508072,0.3661894,0.20311174,0.77408284,0.37265247,0.20596735
10,0.26597455,0.60081476,0.21213615,0.18086624,0.09039864,0.26562226,0.40084276,0.5634325,0.32955158,0.28275594,0.33291718,0.38883907,0.28928173,0.15868662,0.61687297,0.28476715,0.49506485,1.4560999,0.22660692,0.6529468,0.3130604,0.43862793,0.48376513,0.36952698,0.44087014,0.5704834,0.4067689,0.44278857,0.5904523,0.29089963,0.27989408,0.13965896,0.27160564,0.3875408,0.44123212,0.35200575,0.28933865,0.4085547,0.35251066,0.3343601,0.38590097,0.22249547,1.1580527,0.27480033,0.25176007,0.39612114,0.19211267,0.9927403,0.36791435,0.23321475
11,0.2601949,0.5335131,0.19909751,0.14460814,0.08784222,0.29964867,0.35088414,0.72556937,0.30377698,0.33830127,0.3146853,0.36389711,0.2495582,0.12768336,0.5750611,0.29643664,0.4867851,1.4176849,0.21972433,0.6944624,0.26920858,0.39132026,0.53170776,0.346165,0.4335644,0.444621,0.38124493,0.3984809,0.5124544,0.20229398,0.275021,0.12465836,0.2585469,0.3576031,0.38855842,0.34837252,0.274215,0.35302737,0.3185523,0.17237993,0.31026444,0.20312302,1.1559154,0.28591454,0.23708926,0.41738975,0.17522769,1.103181,0.33197913,0.25766996
12,0.24554789,0.4080431,0.18555778,0.11970261,0.084428065,0.31041038,0.28936383,0.8478624,0.26008415,0.4008927,0.28420335,0.32698816,0.21097349,0.09461467,0.5082383,0.29456854,0.4375853,1.1954242,0.2072666,0.6511999,0.22016247,0.32261685,0.53727114,0.314992,0.40824723,0.32017648,0.33457404,0.31974754,0.3927902,0.1261333,0.25556007,0.10976917,0.24178772,0.29742748,0.31241506,0.32187924,0.24386984,0.2886407,0.28305474,0.096673876,0.22914463,0.17551081,1.041344,0.28601807,0.22131234,0.4223603,0.15451626,1.0873495,0.28175384,0.2726816
13,0.22402349,0.26629242,0.171658,0.111281,0.08046576,0.29552418,0.2315309,0.90479475,0.21095847,0.45633927,0.24724667,0.28608277,0.17701806,0.06883493,0.43559778,0.27922976,0.36527237,0.87584734,0.18961723,0.5418114,0.17936908,0.2519146,0.4992063,0.28003663,0.36968634,0.22957106,0.27869865,0.23147717,0.26848903,0.079045035,0.22648425,0.095517665,0.22142589,0.22858456,0.23542199,0.27860206,0.20645142,0.23222725,0.24849774,0.09824868,0.16652448,0.14589559,0.86249626,0.27370742,0.20488043,0.40797168,0.13289754,0.9633408,0.2327529,0.2745301
14,0.19914709,0.14619383,0.15760389,0.114382654,0.07633627,0.25777426,0.18841316,0.8878641,0.16797327,0.49300972,0.21039441,0.24862872,0.14923008,0.05503277,0.37143573,0.2536652,0.2889968,0.55155015,0.16714856,0.39901048,0.15423866,0.19512989,0.42584223,0.24577497,0.32500517,0.18596238,0.22602132,0.1549478,0.16858573,0.06308625,0.19440804,0.08247538,0.19841723,0.17024335,0.17518115,0.22819898,0.16999762,0.19418558,0.21674854,0.14043793,0.13442494,0.11990939,0.66935563,0.24952923,0.18833162,0.37566534,0.11303058,0.7720109,0.19376637,0.26277936
15,0.17478701,0.0717286,0.1436494,0.118900955,0.0723746,0.20419037,0.16406313,0.8044814,0.13824782,0.503404,0.17898153,0.21932611,0.12729067,0.052528445,0.32231885,0.22299823,0.22366047,0.2931904,0.14072767,0.2579749,0.14489658,0.16066697,0.3318764,0.21574745,0.2813274,0.18359393,0.18573636,0.102825455,0.1082777,0.06882474,0.16533871,0.07114031,0.17427076,0.13356408,0.14026695,0.18066758,0.13990645,0.17650288,0.18869063,0.1838769,0.13155511,0.10086504,0.49965543,0.21565327,0.17216489,0.33040196,0.096523754,0.56093556,0.16613966,0.23985457
16,0.15406987,0.049381264,0.13007066,0.11580323,0.06879182,0.14449632,0.15574534,0.67355126,0.12324366,0.48492017,0.15587291,0.19930027,0.109771,0.05682545,0.28768778,0.19273384,0.17744309,0.13754176,0.112269595,0.14687397,0.145893,0.14874639,0.23439857,0.1917405,0.2440247,0.2045282,0.16193776,0.07833647,0.08886162,0.0819442,0.1431134,0.061856236,0.15065804,0.120288104,0.1301577,0.1436591,0.11799489,0.17414269,0.16425021,0.20308754,0.14689305,0.08924084,0.37384513,0.17564334,0.15674284,0.27913412,0.08366517,0.3713026,0.1463609,0.21007033
17,0.13867731,0.07029644,0.11713649,0.101420455,0.06564955,0.08906109,0.15631494,0.5195379,0.11969232,0.43975908,0.14120893,0.18659933,0.09505638,0.062283605,0.26247147,0.16746467,0.15201348,0.08898924,0.08479791,0.08149056,0.14951181,0.15330572,0.14906813,0.17365538,0.21586522,0.22777265,0.15358105,0.0773142,0.10137614,0.08992932,0.12884484,0.05478605,0.12904045,0.12469471,0.13785371,0.12094266,0.10307459,0.17839953,0.14270857,0.19132039,0.1657021,0.08326316,0.29715717,0.13414015,0.14224838,0.2291441,0.07365843,0.23045872,0.12979618,0.17842716
18,0.12864566,0.11612017,0.105082095,0.078301676,0.06288083,0.046712335,0.15753198,0.3667849,0.12179654,0.37407812,0.13297111,0.17755184,0.08204503,0.06459508,0.24028747,0.15002869,0.14433922,0.12849583,0.061833017,0.06418125,0.1491044,0.16520223,0.08717656,0.15995161,0.19703612,0.2371204,0.1558468,0.09141884,0.13170806,0.08632944,0.12131672,0.049933314,0.11039768,0.13731894,0.15354802,0.11217239,0.0924551,0.18061714,0.12313156,0.15654951,0.17542414,0.08011202,0.2651136,0.09628906,0.12869594,0.18659338,0.06518544,0.15004328,0.113621935,0.14949046
19,0.12263729,0.16606238,0.09409041,0.053066637,0.060340296,0.02291504,0.15303764,0.23527272,0.12366954,0.29662427,0.12803537,0.16836523,0.07042322,0.062132087,0.21614462,0.14120595,0.14896847,0.22453909,0.046339814,0.08622135,0.14125259,0.17547894,0.05401866,0.14841478,0.18578902,0.2253985,0.16220477,0.111215495,0.16538751,0.071658805,0.11797961,0.047193393,0.095102735,0.14880389,0.16798478,0.11374099,0.083574854,0.17499886,0.104758665,0.11359056,0.16955063,0.07716542,0.26905218,0.066888854,0.11598696,0.15551387,0.057041604,0.12805764,0.09790139,0.12657624
20,0.11853491,0.20297389,0.08428453,0.03291086,0.057863086,0.01878976,0.14009862,0.13824405,0.12119004,0.21714129,0.12332082,0.15640979,0.060538564,0.055904854,0.1880179,0.13990289,0.15997161,0.34266776,0.039713793,0.13207844,0.12626587,0.17779286,0.048677932,0.13695796,0.17937051,0.19461867,0.16648059,0.12845092,0.19100867,0.051467367,0.11608372,0.046408158,0.08295121,0.15270893,0.17470309,0.12028883,0.07508687,0.15985171,0.08724494,0.07655182,0.14864181,0.072832994,0.29968482,0.04941513,0.103985645,0.1373429,0.048605993,0.15290059,0.084825635,0.111347966
21,0.11415045,0.21701697,0.07573066,0.022571614,0.055314425,0.031225184,0.11980121,0.08154453,0.112852566,0.14483212,0.1166929,0.14085159,0.053040575,0.04848735,0.15711345,0.14369194,0.17215884,0.45238248,0.04127414,0.18418,0.10722793,0.16956358,0.06506025,0.12422136,0.17492387,0.15306078,0.16440025,0.13739404,0.20192166,0.033006065,0.11354849,0.047403373,0.07331487,0.14672938,0.17093107,0.12636837,0.0670875,0.13724701,0.07071786,0.054020252,0.1187732,0.06679626,0.34832376,0.04519871,0.09259036,0.13099723,0.040002618,0.20782608,0.076936305,0.103813
22,0.10784422,0.20652692,0.06845009,0.022897717,0.052620173,0.054012,0.095946565,0.06423898,0.09960668,0.08710256,0.10740995,0.122572824,0.04849631,0.042588934,0.12703241,0.14953198,0.18158442,0.5312675,0.048490252,0.22705868,0.088268265,0.15185039,0.093816,0.10984006,0.17014867,0.11108048,0.15433837,0.13536981,0.19638443,0.022052363,0.10935847,0.049998477,0.06536744,0.13239193,0.1573172,0.12782805,0.06059265,0.111566305,0.055671327,0.047635105,0.08846484,0.05973437,0.40653992,0.053051405,0.081781484,0.13339841,0.03194052,0.27490458,0.07539772,0.10262825
23,0.098902725,0.17654867,0.06243589,0.031213798,0.04977518,0.079624765,0.07326579,0.08001676,0.08397662,0.048723675,0.09606837,0.103552,0.04713585,0.039923646,0.102282,0.15449814,0.18559152,0.5667803,0.057840098,0.2501806,0.07284801,0.1282965,0.12466889,0.094370686,0.16362782,0.07733989,0.13725156,0.12267454,0.17665647,0.021008682,0.10348984,0.053990893,0.058322202,0.11370348,0.13691075,0.122627236,0.056656774,0.08763052,0.04275986,0.053438682,0.0654051,0.052780494,0.46541655,0.06951647,0.0716345,0.14030562,0.025340756,0.33806688,0.079131715,0.105584785
24,0.08760959,0.1360408,0.057670087,0.04291094,0.046833053,0.10111762,0.055667844,0.11898792,0.06889333,0.031466354,0.084153615,0.08600888,0.04878676,0.04074988,0.086658664,0.15637395,0.18270546,0.5561884,0.06593873,0.2491848,0.06266065,0.10363591,0.1486387,0.07896416,0.15484482,0.05651797,0.11597698,0.10202903,0.1475723,0.028662682,0.09653649,0.059129532,0.051625244,0.09539245,0.11385401,0.110984154,0.055608373,0.06907449,0.032572173,0.064723894,0.054057557,0.04698676,0.51536995,0.08972081,0.062300637,0.14727639,0.020924978,0.38511,0.08509235,0.11014483
25,0.075033404,0.09481088,0.05413719,0.05337291,0.04388393,0.11362517,0.045080364,0.16958134,0.05665899,0.034186926,0.07339961,0.07162736,0.052965097,0.04409542,0.08195852,0.15400945,0.17257346,0.50513,0.07049821,0.2256287,0.057400174,0.08224645,0.15971105,0.06492607,0.14398658,0.04878287,0.09418911,0.077695586,0.11503242,0.041316815,0.08926662,0.065095305,0.045066472,0.08132292,0.09216853,0.0949395,0.056743152,0.057412952,0.025454435,0.07499907,0.054742936,0.042993687,0.54697025,0.108595185,0.053964186,0.15056816,0.018935028,0.4086994,0.08942708,0.113926955
26,0.06262958,0.061002243,0.051830772,0.059454218,0.041028287,0.115140215,0.04114821,0.22034001,0.04833978,0.0532893,0.065180816,0.061086226,0.059042,0.048407454,0.08731973,0.14740846,0.15597177,0.42527086,0.070801266,0.1856021,0.055293735,0.06709554,0.15566425,0.05331085,0.13165328,0.05071439,0.075328,0.05439951,0.08469271,0.054572992,0.08230218,0.07150293,0.038791824,0.073476575,0.074877754,0.07754598,0.05856777,0.051948715,0.021428403,0.08005181,0.06422367,0.04096461,0.55260235,0.122097865,0.04679295,0.14781576,0.019081926,0.40648693,0.088946484,0.11507379
27,0.051789813,0.039574225,0.050752442,0.06009836,0.038353004,0.10649038,0.041735645,0.2614538,0.043694805,0.0834562,0.060117025,0.05398869,0.0664006,0.05226267,0.09932871,0.13756716,0.13476837,0.33152035,0.06760454,0.13771383,0.05405493,0.059249647,0.13798025,0.044659324,0.11858409,0.057050984,0.061761986,0.03624008,0.06099427,0.06497963,0.076010436,0.07792905,0.033224836,0.07166852,0.063560285,0.061946753,0.059435558,0.050396193,0.020214785,0.078685924,0.07734464,0.04072025,0.5283727,0.12807699,0.040896583,0.13837253,0.020718751,0.3805263,0.08228244,0.112472594
28,0.043469902,0.03185918,0.05090337,0.056105737,0.03591473,0.090665095,0.043932546,0.28589892,0.041561462,0.118525825,0.057977792,0.049148295,0.07453063,0.054841273,0.11284267,0.12613383,0.111704335,0.23924507,0.06261487,0.09096458,0.05183438,0.05794637,0.11098216,0.0389301,0.10546674,0.06258147,0.05434766,0.025808427,0.046581548,0.07097204,0.070580564,0.0839597,0.028925968,0.07394909,0.058312703,0.050585818,0.058261573,0.049900193,0.021338994,0.07227186,0.08901682,0.041945025,0.47551692,0.12654525,0.03630488,0.123276524,0.023139426,0.33621028,0.07031652,0.1058289
29,0.03798991,0.036018103,0.052271534,0.049364068,0.033732675,0.07178216,0.045150332,0.29008892,0.040480945,0.15238902,0.057874516,0.04508643,0.08304971,0.05603918,0.122319065,0.114983134,0.08993689,0.16183533,0.05780306,0.052926272,0.047826435,0.06110296,0.08049933,0.03561027,0.09285278,0.06362977,0.052432522,0.023708817,0.042104997,0.072921515,0.06617816,0.08924115,0.026428705,0.077472314,0.058025822,0.044716347,0.05499891,0.048059873,0.024274133,0.06360066,0.09582608,0.044343747,0.40072545,0.119347,0.03296948,0.1048802,0.02586157,0.28096816,0.05578379,0.09561263
30,0.035039358,0.048076075,0.05481756,0.04195696,0.031790704,0.054008063,0.043927968,0.2739968,0.0393006,0.17979223,0.058640968,0.0405561,0.091673166,0.056271452,0.123307005,0.10580045,0.0724092,0.108879454,0.054809455,0.02850072,0.042374577,0.06606014,0.052424304,0.033942148,0.08115918,0.058808398,0.054237995,0.028590221,0.046371624,0.072477594,0.06305376,0.09351736,0.02609411,0.07951453,0.06084722,0.044275124,0.050680723,0.043628097,0.028569376,0.055608764,0.096789524,0.047690243,0.31515467,0.10939518,0.030785609,0.086242385,0.028772563,0.22294447,0.042271554,0.082904935
31,0.033859592,0.06318444,0.058463465,0.035491906,0.030047327,0.04068169,0.04021993,0.24077559,0.037538715,0.19695327,0.05925593,0.03492401,0.10016653,0.05612912,0.1136935,0.09975655,0.06120831,0.08509494,0.054590233,0.0193736,0.03662493,0.07034179,0.03148899,0.03317804,0.07071269,0.048978377,0.057476167,0.037660252,0.056780975,0.07160806,0.06152865,0.09664219,0.028017558,0.07831746,0.06469751,0.0480928,0.04702537,0.03671229,0.03392304,0.050407615,0.093154065,0.05178375,0.23230731,0.09976079,0.029624352,0.07042094,0.032089744,0.16982377,0.033016857,0.06917619
32,0.033527177,0.07679912,0.06308639,0.030808104,0.028449997,0.033778902,0.0351464,0.19597594,0.035416197,0.2019275,0.059163656,0.028308105,0.10830826,0.056067165,0.09434035,0.09732331,0.057097666,0.090072975,0.05732766,0.024144793,0.03193507,0.07224111,0.020481637,0.032781366,0.06178991,0.03657635,0.060014736,0.04751737,0.06995387,0.07175655,0.0618587,0.098564625,0.032005727,0.0735211,0.06772915,0.054336417,0.045778405,0.02849346,0.04018342,0.048821528,0.087483294,0.05637832,0.16528757,0.092893206,0.029363966,0.059810992,0.03617281,0.12790555,0.029925834,0.05602655
33,0.033243436,0.08555672,0.06851974,0.028039288,0.026950067,0.033746503,0.030372342,0.14650774,0.033598654,0.19469704,0.05839375,0.021456132,0.11587533,0.05623944,0.06889802,0.098251805,0.059363816,0.118807904,0.0625377,0.03901158,0.029300444,0.07111426,0.01998665,0.03252272,0.05461908,0.02461084,0.060413152,0.055056207,0.08243763,0.07339747,0.064051665,0.0992961,0.03762311,0.06610399,0.068649,0.061042212,0.048057742,0.020636177,0.047287274,0.050423197,0.082480654,0.061153933,0.12408646,0.09015228,0.029910149,0.05565859,0.04128776,0.10147097,0.033106282,0.04491955
34,0.032544173,0.08773894,0.07456096,0.026882181,0.025514858,0.039654147,0.027388282,0.09951478,0.03279846,0.17699467,0.057457894,0.015431976,0.12264767,0.05650606,0.042813696,0.101699084,0.06602189,0.16289814,0.06928076,0.058810417,0.029014366,0.06735489,0.028602596,0.03246043,0.049335934,0.01566428,0.058205154,0.058196314,0.091359325,0.07605481,0.067743674,0.09887416,0.044290133,0.057911728,0.0668685,0.06659586,0.05394977,0.014635313,0.055168334,0.053915635,0.08000734,0.06576013,0.113518134,0.09170173,0.031200217,0.057842217,0.047433466,0.09244227,0.040999215,0.036942042
35,0.031378753,0.083319545,0.0809844,0.026894009,0.024134072,0.049569987,0.026963925,0.061323337,0.033420138,0.151907,0.057078127,0.011229363,0.1284218,0.056561857,0.021789495,0.10646576,0.074321106,0.21221167,0.07640036,0.07818367,0.03065292,0.062107027,0.043502666,0.032833617,0.045911085,0.011178133,0.05388299,0.05625983,0.094909735,0.078668,0.07221751,0.097337045,0.05140318,0.050971918,0.062486656,0.07005103,0.06249135,0.011325274,0.063675314,0.05766236,0.080598205,0.06991102,0.132253,0.09669847,0.03319218,0.06496275,0.054300223,0.1003168,0.050992068,0.032626465
36,0.030052759,0.073669426,0.08755679,0.02769107,0.022819532,0.061053783,0.02894821,0.0365945,0.035390735,0.12332738,0.057857852,0.009443019,0.1330235,0.056099955,0.010134882,0.111283995,0.08141132,0.25673002,0.08274778,0.09263797,0.033338208,0.05683293,0.061162964,0.033918098,0.04408627,0.011177905,0.0486232,0.049942333,0.09257702,0.08008927,0.07657826,0.09471689,0.05844332,0.04683314,0.056143437,0.07123286,0.0720163,0.010688749,0.072531596,0.060188934,0.08354859,0.07347458,0.17314422,0.10365304,0.035844676,0.07471775,0.061364293,0.122354455,0.060263157,0.03186731
37,0.029070461,0.06104276,0.094051965,0.029006425,0.021598905,0.07166546,0.032440845,0.027769752,0.03822013,0.09534404,0.060019635,0.0100973435,0.13631381,0.054934867,0.009523643,0.1150909,0.084996805,0.28824013,0.087374344,0.09930236,0.03613228,0.05287135,0.07808811,0.03589774,0.043358933,0.0144519955,0.043858066,0.04093977,0.08510342,0.07950539,0.08002504,0.09105049,0.06504747,0.046126228,0.04879864,0.070633896,0.08071208,0.011982264,0.08135007,0.060537174,0.087428674,0.07650104,0.22477618,0.11083375,0.039096136,0.08447491,0.068060726,0.1539978,0.066573605,0.03395561
38,0.028938152,0.04798391,0.10026265,0.030640561,0.020505799,0.07940227,0.036218885,0.03485678,0.041235123,0.07164979,0.0633042,0.012673871,0.138192,0.05304707,0.018572219,0.11722834,0.08381853,0.3015703,0.08967656,0.097271554,0.038387444,0.051099297,0.09140316,0.038788136,0.043041117,0.019071111,0.040828634,0.031380586,0.0741976,0.076652944,0.082107075,0.086401306,0.07102771,0.048454076,0.04149322,0.069161355,0.087170206,0.0140895415,0.08969243,0.05842034,0.090752766,0.079168536,0.27391225,0.11661947,0.042851314,0.091908365,0.0739499,0.18949859,0.06878152,0.037733115
39,0.029994262,0.0367815,0.10600768,0.03237732,0.019568967,0.08300076,0.03921969,0.055560607,0.043864973,0.055052258,0.06705824,0.01631148,0.13859689,0.050554227,0.03339794,0.117531404,0.07785999,0.2951625,0.08947542,0.08751693,0.039924286,0.051766317,0.09923413,0.04242646,0.042393252,0.023052484,0.040244956,0.023237346,0.062085096,0.07180395,0.082855135,0.08087989,0.07634073,0.05260408,0.035139576,0.06782213,0.09074002,0.01595046,0.09714723,0.0541854,0.092527136,0.081670314,0.3083227,0.11975628,0.046979144,0.09554254,0.078810655,0.2227042,0.066973105,0.041842412
40,0.03231404,0.02906316,0.11113446,0.033932194,0.018804021,0.08206617,0.04088635,0.08572799,0.045850776,0.047142927,0.07046667,0.020098971,0.13751137,0.047641173,0.04896588,0.116297156,0.06824906,0.27092856,0.08701154,0.072441235,0.04099676,0.054513894,0.1008548,0.0465167,0.040802658,0.024954058,0.04213644,0.01787046,0.051005617,0.065585904,0.08273161,0.07465523,0.081023134,0.056982577,0.030371053,0.067433454,0.09159115,0.01690745,0.10339569,0.04862959,0.09249652,0.08409805,0.31937668,0.11950641,0.051322013,0.09506529,0.0826332,0.24792613,0.06223584,0.04502194
41,0.035707917,0.02558158,0.11551782,0.03496615,0.018209504,0.07702779,0.04126211,0.12003585,0.04729976,0.048160113,0.07283074,0.023355145,0.13496819,0.04448882,0.060730036,0.11415311,0.056902826,0.23350582,0.08285356,0.055215057,0.042093504,0.058544528,0.09662158,0.050705973,0.037955437,0.024228372,0.045913182,0.01579484,0.042765945,0.05873616,0.08242179,0.06795123,0.08511608,0.060115315,0.027464362,0.06842691,0.09050775,0.0168594,0.10824369,0.042740997,0.09105926,0.086376704,0.30381957,0.11569809,0.05571249,0.09132941,0.08553669,0.2607792,0.056196976,0.04637809
42,0.03979967,0.026198864,0.11905697,0.035157938,0.017768076,0.06894951,0.04083708,0.15282299,0.048580084,0.057052445,0.073782526,0.025804412,0.13105461,0.041229583,0.065963745,0.11186768,0.04601955,0.18915235,0.07774089,0.03905932,0.043680552,0.06287421,0.08774789,0.05466215,0.033943,0.021257449,0.050596904,0.01668908,0.03843291,0.051890127,0.082553215,0.061029732,0.08860353,0.06105651,0.02633491,0.07077868,0.088526994,0.01619378,0.11161384,0.03743667,0.08895372,0.08827747,0.26434052,0.10869084,0.05999083,0.08604054,0.08766152,0.258862,0.05049803,0.045567278
43,0.044148345,0.030038906,0.12167252,0.034299143,0.017451983,0.05925023,0.040248238,0.17894024,0.050117448,0.071721196,0.07336076,0.027598657,0.1259113,0.037938587,0.06432193,0.110152535,0.037548356,0.14456512,0.07240227,0.026620558,0.04599603,0.066592015,0.07598213,0.058130633,0.029258875,0.017096594,0.05513502,0.01960298,0.038210817,0.04545873,0.083456755,0.05416527,0.0913829,0.059595596,0.026595406,0.07406401,0.08656997,0.015550475,0.11350937,0.03336041,0.086882345,0.089499734,0.20880744,0.0992697,0.06401852,0.08121823,0.08908776,0.24215461,0.046360996,0.04284204
44,0.04836882,0.03575309,0.12330461,0.032369006,0.017230755,0.04939995,0.039978456,0.19448999,0.05218882,0.08939646,0.0719327,0.029193426,0.119723685,0.034651637,0.057515856,0.10950246,0.03276105,0.10584422,0.06739968,0.019542675,0.04896922,0.06906173,0.063255355,0.060958702,0.024672464,0.013042109,0.05869621,0.02327912,0.04150503,0.039608408,0.08505731,0.047618717,0.09327356,0.056225352,0.027661005,0.077602856,0.08518577,0.0155259445,0.11397161,0.030779364,0.085229404,0.08977994,0.14834967,0.088486366,0.06768388,0.078582466,0.08980827,0.21304579,0.04434617,0.038950272
